Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
1970,5.164942803153723,3.6377285425410153,5.164942803153723,3.6377285425410153,-1.9650051402266673,12.294890746534113
1971,6.282427057299238,3.683009523065926,11.447369860452964,7.2646757026789475,-0.9362716079099771,13.501125722508451
1972,7.057145710931918,3.7520775649382774,18.50451557138488,10.915196436457185,-0.29692631634710587,14.411217738210942
1973,7.709206991116987,3.861916183164443,26.21372256250188,14.638572708517064,0.13985127211467852,15.278562710119296
1974,8.289656591362398,3.990435879888915,34.50337915386427,18.470519360831737,0.4684022667801253,16.11091091594467
1975,8.845152633332823,4.081201235004151,43.34853178719706,22.384855620830404,0.8459982127246866,16.84430705394096
1976,9.41160811728663,4.130264110467074,52.76013990448372,26.331893133571338,1.3162904607711639,17.506925773802095
1977,10.016842731410568,4.262361262285397,62.776982635894264,30.267208543113348,1.66261465733119,18.371070805489946
1978,10.5994500361884,4.294391584112509,73.37643267208269,34.25292129636268,2.182442531327885,19.016457541048915
1979,11.396685834124764,4.14046629188743,84.77311850620748,37.897408548774756,3.281371902025402,19.511999766224125
1980,12.025567865859582,4.169314262330485,96.79868637206704,41.59181984311629,3.85371191169183,20.197423820027332
1981,12.65269119535957,4.264026597446148,109.45137756742655,45.3987182845128,4.29519906436512,21.010183326354017
1982,13.301866363561627,4.307044808088924,122.75324393098823,49.28815148620564,4.860058539707337,21.74367418741592
1983,14.027788262610464,4.2814822007333495,136.7810321935987,53.150448759314486,5.6360831491731,22.41949337604783
1984,14.88640333539601,4.303395117526196,151.66743552899473,56.822389856238466,6.451748905044665,23.321057765747355
1985,16.001213202611176,6.708277386325931,167.66864873160594,60.051319204489445,2.852989525412351,29.14943687981
1986,16.743913761796385,6.726563873686418,184.41256249340213,63.863901972716654,3.559848569371006,29.927978954221764
1987,17.53535938222585,6.745033635196887,201.94792187562803,68.1580302524712,4.31509345723995,30.755625307211748
1988,18.40669188398296,6.735138916154272,220.35461375961108,72.77662651478114,5.205819608320587,31.607564159645328
1989,19.375601893917818,6.790786406581241,239.73021565352894,77.59374722460115,6.065660537018585,32.68554325081705
1990,20.273539440654123,6.7920607236240915,260.003755094183,82.67518151403165,6.961100422350903,33.58597845895734
1991,21.210015994830318,6.772302541977433,281.21377108901333,87.96778654324153,7.936303012554548,34.48372897710609
1992,22.185248331650868,6.758925941521621,303.3990194206642,93.43115609777733,8.937753486268491,35.432743177033245
1993,23.187835863615078,6.735316104488345,326.58685528427935,99.04602730730053,9.986616298817921,36.389055428412235
1994,24.23908339218376,6.705548079833354,350.82593867646295,104.77559423790846,11.096209155710383,37.38195762865713
1995,25.34485337024365,6.673169863931488,376.1707920467067,110.59049009750801,12.265440436937935,38.424266303549366
1996,26.51065213884219,6.64424628773562,402.68144418554874,116.4679492698072,13.487929414880375,39.533374862804
1997,27.719929399337097,6.588258701592435,430.401373584886,122.37037162482268,14.806942344215924,40.63291645445827
1998,28.987211641554662,6.5213092725178345,459.38858522644085,128.27141440847595,16.205445467419707,41.76897781568962
1999,30.31659471477289,6.444526229759563,489.7051799412137,134.1468628834323,17.685323304444147,42.94786612510163
2000,31.711388984844117,6.357566935092317,521.4165689260577,139.97331460031756,19.250557792063177,44.17222017762506
2001,33.175071627761156,6.26024504888745,554.5916405538186,145.72777558234233,20.904991331941755,45.44515192358055
2002,34.71129968934745,6.1526140816529935,589.3029402431662,151.3873311327042,22.65217608930758,46.77042328938732
2003,36.32392449999316,6.035083754411253,625.6268647431599,156.9288804692868,24.495160341347106,48.15268865863922
2004,38.01700678773694,5.90858028527163,663.6438715308958,162.32892878067284,26.436189428604543,49.597824146869335
2005,39.794832088952006,5.774765582767275,703.4387036198486,167.56343440975385,28.47629154672815,51.113372631175864
2006,41.66192621895494,5.63633362127622,745.1006298388033,172.60771312833083,30.61471232125355,52.70914011665633
2007,43.62307048666373,5.497402562414646,788.7237003254669,177.43640643741054,32.84816146433102,54.397979508996436
2008,45.68331501548894,5.364012358063945,834.4070153409558,182.02352820618665,35.16985079368361,56.196779237294265
2009,47.847974501763,5.2446976596992485,882.2549898427185,186.34262708226376,37.56836708875247,58.12758191477353
2010,50.1224269172044,5.150836570442676,932.3774167599233,190.3672844681543,40.02678723913675,60.21806659527205
2011,52.50961759806635,5.093460987184687,984.8870343579896,194.07408125381195,42.52643406318436,62.49280113294834
2012,54.98593592939171,5.065863822119788,1039.8729702873816,197.46701560401,45.05684283803693,64.91502902074649
2013,57.48765923485068,5.42477094977834,1097.3606295222319,200.62107544252615,46.85510817328513,68.12021029641623
2014,60.26683855603855,5.5201825182964495,1157.6274680782706,203.38551309991314,49.44728082017751,71.08639629189959
2015,63.1004020705898,6.139521994146035,1220.7278701488606,205.84918779045398,51.066938962063574,75.13386517911603
2016,66.27708004914722,6.0317020934715995,1287.004950198008,207.75959231415945,54.45494394594288,78.09921615235154
2017,69.57648855604185,6.525568985539799,1356.5814387540493,209.14301167749548,56.78637334438385,82.36660376769986
2018,72.9523471538685,7.198301060795875,1429.5337859079184,210.12892671844503,58.84367707470859,87.06101723302842
2019,76.39996267773118,7.969035879806787,1505.9337485856495,210.8692916016368,60.780652353309875,92.01927300215249
2020,79.94596170399453,9.272778200622872,1585.8797102896442,211.53152779202247,61.771316430773695,98.12060697721536
2021,84.00146847990051,10.0113230856425,1669.8811787695447,211.75652701894344,64.37927523204121,103.62366172775981
2022,88.19092512458376,11.357788721272065,1758.0721038941283,211.73869114669768,65.92965923089051,110.452191018277
2023,92.53855710924374,12.87789151886257,1850.6106610033721,211.72809903393636,67.2978897322731,117.77922448621437
2024,97.12147480214071,14.583015412059774,1947.7321358055133,211.94591126761495,68.53876459450356,125.70418500977786
2025,101.87123048338209,16.476929944108296,2049.6033662888944,212.52747615120634,69.57644779292983,134.16601317383436
